sexual_orientation,refuses to provide a clear or specific answer about sexual orientation,explicitly states attraction to 'men' without additional context or qualifiers,mentions demisexuality or being demisexual,mentions being married,explicitly self-describes as asexual or aromantic,explicitly self-describes as straight or heterosexual without additional context or elaboration,explicitly self-describes as straight using the exact word 'straight',"discusses how sexual orientation influences personal growth, relationships, or key life milestones",uses the term 'queer' to describe their sexual orientation,explicitly states never questioning their sexual orientation,mentions uncertainty or questioning about their sexual orientation,mentions that their sexual orientation does not significantly impact their life,mentions 'opposite sex' or 'opposite gender',mentions attraction to more than two genders or a spectrum of genders,mentions attraction specifically to the opposite sex,mentions difficulty or hesitation in forming romantic or sexual connections,self-describes as gay,mentions romantic orientation as distinct from sexual orientation,mentions the word 'straight',mentions age or life stage when they realized or came out,discusses how their sexual orientation influences their personal relationships or life milestones,mentions attraction to transgender or non-binary individuals,self-describes as lesbian,mentions pansexuality or pansexual as a descriptor,self-describes as bisexual,mentions attraction not based on gender or sex,mentions discomfort or rejection of labels for their sexual orientation,explicitly uses the term 'heterosexual'
Asexual or aromantic,0.061224489795918366,0.0,0.022727272727272728,0.03278688524590164,0.5106382978723404,0.0,0.00411522633744856,0.08173076923076923,0.04477611940298507,0.011235955056179775,0.09615384615384616,0.1440677966101695,0.013888888888888888,0.011049723756906077,0.002638522427440633,0.21428571428571427,0.0,0.17142857142857143,0.00749063670411985,0.07894736842105263,0.07006369426751592,0.0,0.0,0.037037037037037035,0.00684931506849315,0.025454545454545455,0.07471264367816093,0.0
Bisexual and/or Pansexual,0.14285714285714285,0.08571428571428572,0.0,0.09836065573770492,0.0,0.0,0.01646090534979424,0.19230769230769232,0.2835820895522388,0.0,0.18269230769230768,0.1016949152542373,0.027777777777777776,0.49171270718232046,0.08179419525065963,0.07142857142857142,0.0,0.1357142857142857,0.03745318352059925,0.34210526315789475,0.1624203821656051,0.5145631067961165,0.0,0.5679012345679012,0.7602739726027398,0.43636363636363634,0.21264367816091953,0.00819672131147541
Demisexual,0.02040816326530612,0.0,0.20454545454545456,0.0,0.02127659574468085,0.0,0.00411522633744856,0.028846153846153848,0.029850746268656716,0.0,0.02403846153846154,0.01694915254237288,0.0,0.016574585635359115,0.0,0.05844155844155844,0.0,0.014285714285714285,0.003745318352059925,0.02631578947368421,0.01910828025477707,0.009708737864077669,0.0,0.012345679012345678,0.0,0.02181818181818182,0.005747126436781609,0.004098360655737705
Gay or Lesbian,0.05102040816326531,0.0761904761904762,0.0,0.03278688524590164,0.010638297872340425,0.0,0.0,0.11538461538461539,0.14925373134328357,0.0449438202247191,0.07211538461538461,0.01694915254237288,0.0,0.049723756906077346,0.002638522427440633,0.045454545454545456,0.8666666666666667,0.05714285714285714,0.003745318352059925,0.2894736842105263,0.08917197452229299,0.10679611650485436,0.7037037037037037,0.012345679012345678,0.0136986301369863,0.04727272727272727,0.08045977011494253,0.0
I prefer not to answer,0.030612244897959183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003745318352059925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0
Multiple Identities,0.3673469387755102,0.01904761904761905,0.7272727272727273,0.18032786885245902,0.425531914893617,0.016216216216216217,0.05761316872427984,0.17307692307692307,0.23880597014925373,0.02247191011235955,0.3317307692307692,0.1016949152542373,0.027777777777777776,0.30386740331491713,0.06860158311345646,0.38311688311688313,0.1111111111111111,0.35714285714285715,0.07865168539325842,0.21052631578947367,0.18789808917197454,0.1941747572815534,0.2777777777777778,0.37037037037037035,0.21232876712328766,0.3090909090909091,0.3563218390804598,0.06557377049180328
Other,0.0,0.01904761904761905,0.0,0.03278688524590164,0.02127659574468085,0.002702702702702703,0.00411522633744856,0.009615384615384616,0.014925373134328358,0.0,0.019230769230769232,0.00847457627118644,0.0,0.011049723756906077,0.0079155672823219,0.012987012987012988,0.0,0.05,0.003745318352059925,0.02631578947368421,0.012738853503184714,0.019417475728155338,0.0,0.0,0.0,0.02181818181818182,0.022988505747126436,0.004098360655737705
Queer,0.10204081632653061,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.019230769230769232,0.22388059701492538,0.0,0.07211538461538461,0.00847457627118644,0.0,0.08839779005524862,0.005277044854881266,0.03896103896103896,0.022222222222222223,0.02142857142857143,0.0149812734082397,0.02631578947368421,0.01592356687898089,0.10679611650485436,0.018518518518518517,0.0,0.00684931506849315,0.06545454545454546,0.07471264367816093,0.004098360655737705
Questioning,0.030612244897959183,0.0,0.0,0.0,0.0,0.002702702702702703,0.00823045267489712,0.004807692307692308,0.0,0.0,0.028846153846153848,0.025423728813559324,0.027777777777777776,0.0,0.002638522427440633,0.025974025974025976,0.0,0.007142857142857143,0.00749063670411985,0.0,0.006369426751592357,0.0,0.0,0.0,0.0,0.01818181818181818,0.028735632183908046,0.012295081967213115
Sexually fluid,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.00411522633744856,0.0,0.014925373134328358,0.0,0.019230769230769232,0.0,0.0,0.011049723756906077,0.0,0.0,0.0,0.0,0.003745318352059925,0.0,0.0031847133757961785,0.009708737864077669,0.0,0.0,0.0,0.01090909090909091,0.022988505747126436,0.0
Straight or heterosexual,0.15306122448979592,0.8,0.022727272727272728,0.6229508196721312,0.010638297872340425,0.9783783783783784,0.9012345679012346,0.375,0.0,0.9213483146067416,0.14903846153846154,0.576271186440678,0.9027777777777778,0.016574585635359115,0.8284960422163589,0.14935064935064934,0.0,0.18571428571428572,0.8352059925093633,0.0,0.43312101910828027,0.038834951456310676,0.0,0.0,0.0,0.04363636363636364,0.10919540229885058,0.9016393442622951
